mAKOS
mAntares
mAPEKS
mASTRAN
mBEELINE
mCenter2M
mDanieCall
mEKATERINBURG
mELEMTEINVEST
mGASPROM
mGLOBAL
mGLONASS
mInternod
mJUTA
mKANTRI
mKrimtel
mKTEL
mKTKTEL
mKTTK
mLYCAMOBILE
mMATRIKS
mMEGAFON, 77 25 64 29 
mMGTS
mMIATEL
mMSNTELECOM
mMTS
mMTT
mNBN
mNMK
mPLINTRON
mPOLIFON
mQuantech
mRTK
mSBERTEL
mSEVTEL
mSEVTELEKOM
mSIMTEL
mSintonik
mSKAINETVORKS
mSKNT
mSMARTSK
mSONET
mSPITERBURG
mSPRINT
mSunSim
mTANDER
mTATTELEKOM
mTELE2
mTINKOFF
mTrivonet
mTVETEL
mVAINAX
mVIKOM
mVOENTEL
mVTBMOBAYL
mZIFRAODIN
OwnerId
